Colaborador,Fuente,Sexo,Origen,Nacimiento,Muerte
"Bach, Fritz","https://books.google.de/books?id=rPtG2VZfmvcC&pg=PP1&lpg=PP1&dq=Manuel+De+la+Parra+L%C3%B3pez,+El+Pensamiento+Econ%C3%B3mico+de+Fritz+B&source=bl&ots=i4DkF8TXur&sig=ACfU3U2EQ3yJ2Z3iDmYy6eOY7MQ7fU2l0Q&hl=de&sa=X&ved=2ahUKEwjnnKzO4bvgAhUosKQKHagQDUEQ6AEwAHoECAQQAQ#v=onepage&q=Manuel%20De%20la%20Parra%20L%C3%B3pez%2C%20El%20Pensamiento%20Econ%C3%B3mico%20de%20Fritz%20B&f=false",M,Suiza,NA,NA
"Bacon, Francis",http://viaf.org/viaf/31992319,M,Reino Unido,1561,1626
"Bacon, Peggy",http://viaf.org/viaf/8456354,F,Estados Unidos,1895,1987
"Badi, Aquiles",http://viaf.org/viaf/63670450,M,Argentina,1894,1976
"Badillo, Román","https://viaf.org/viaf/53040625/#Badillo,_Roma%CC%81n,_1895-1963",M,NA,1895,1963
"Baert, René",http://viaf.org/viaf/64167529,M,Bélgica,1893,1945
"Baeza, Ricardo",http://viaf.org/viaf/13404577,M,España,1890,1956
"Bagaría, Luis",http://viaf.org/viaf/28202256,M,España,1882,1940
"Baglieto, Mariano",http://dbe.rah.es/biografias/68396/mariano-baglietto-y-leante,M,España,1848,1906
"Bagú Bejarano, Saúl Nicanor",https://www.geni.com/people/Sa%C3%BAl/6000000029158533256,M,Argentina,1901,1987
"Bakunin, Mikhail Aleksandrovich",http://viaf.org/viaf/27878824,M,Rusia,1814,1876
"Bal'mont, Konstantin Dmitrievic",http://viaf.org/viaf/2511539,M,Rusia,1867,1942
"Balaciart, Daniel",http://viaf.org/viaf/315088573,M,España,1837,1904
"Balart, Federico",http://viaf.org/viaf/56173138,M,España,1831,1905
"Balbín de Unquera, Antonio",http://viaf.org/viaf/59869851,M,España,1842,1919
"Ballagas, Emilio",http://viaf.org/viaf/49966254,M,Cuba,1908,1954
"Ballester, Arturo",http://viaf.org/viaf/87641080,M,España,1892,1981
"Ballesteros y Usano, A.",http://biblioweb.tic.unam.mx/diccionario/htm/biografias/bio_b/ballasteros.htm,M,España,1895,1974
"Balmaseda de González, Joaquina",http://viaf.org/viaf/26246081,F,España,1837,1911
"Balmori, Santos",http://viaf.org/viaf/296385412,M,México,1899,1992
"Balsa de la Vega, Rafael",http://viaf.org/viaf/87635383,M,España,1859,1913
"Balseiro, José Agustín",http://viaf.org/viaf/114452112,M,España,1900,1991
"Balsells Rivera, Alfredo",http://viaf.org/viaf/76369962,M,Guatemala,1904,1940
"Balsemão, Jaime de",http://viaf.org/viaf/88470053,M,NA,1891,1947
"Balzac, Honoré de",http://viaf.org/viaf/29529595,M,Francia,1799,1850
"Bandeira, Manoel",http://viaf.org/viaf/68570655,M,Brasil,1900,1964
"Banville, Théodore de",http://viaf.org/viaf/19673643,M,Francia,1823,1891
"Barahona Vega, Clemente",http://viaf.org/viaf/12672107,M,Chile,1863,1918
"Baralt Mederos, Luis A.",http://viaf.org/viaf/68547699,M,Estados Unidos,1892,1969
"Barbaro, Umberto",http://viaf.org/viaf/4972052,M,Italia,1902,1959
"Barbey d'Aurevilly, Jules",http://viaf.org/viaf/49221211,M,Francia,1808,1889
"Barbieri, Vicente",http://viaf.org/viaf/68941999,M,Argentina,1903,1956
"Barbusse, Henri",http://viaf.org/viaf/68925116,M,Francia,1873,1935
"Barcia, Augusto",http://viaf.org/viaf/86838482,M,España,1881,1961
"Barcón Olesa, J.",http://viaf.org/viaf/123152561492215440592,NA,NA,NA,NA
"Barcos, Julio Ricardo",http://viaf.org/viaf/23481206,M,Argentina,1883,1960
"Barga, Corpus",http://viaf.org/viaf/30350,M,España,1887,1975
"Bargiela, Camilo",http://viaf.org/viaf/232684438,M,España,1864,1910
"Bark, Ernesto",http://viaf.org/viaf/69091582,M,Rusia,1858,1924
"Barletta, Leónidas",http://viaf.org/viaf/60548155,M,Argentina,1902,1975
"Baroja, Carmen",http://viaf.org/viaf/24821574,F,España,1883,1950
"Baroja, Pío",http://viaf.org/viaf/36912891,M,España,1872,1956
"Baroja, Ricardo",http://viaf.org/viaf/7427586,M,España,1871,1953
"Barra, Eduardo de la",http://viaf.org/viaf/66026022,M,Chile,1839,1900
"Barradas, Rafael",http://viaf.org/viaf/72198555,M,Uruguay,1890,1929
"Barrantes, Pedro",http://viaf.org/viaf/300115333,M,España,1863,1912
"Barraqué Adué, Jesús María",https://www.ecured.cu/Jes%C3%BAs_Mar%C3%ADa_Barraqu%C3%A9_Ad%C3%BAe,M,Cuba,1868,NA
"Barreda, Octavio G.",http://viaf.org/viaf/7430387,M,México,1897,1964
"Barrenechea, Mariano Antonio",http://viaf.org/viaf/4558467,M,Argentina,1884,1949
"Barrera, Carlos",http://viaf.org/viaf/100233143,M,NA,1888,1970
"Barrera, Isaac J.",http://viaf.org/viaf/21101015,M,NA,1884,1970
"Barrés, Maurice",http://viaf.org/viaf/66463260,M,Francia,1862,1923
"Barrett, Rafael",http://viaf.org/viaf/4946590,M,España,1876,1910
"Barriobero y Herrán, Eduardo",http://viaf.org/viaf/15894859,M,España,1875,1939
"Barros Méndez, Luis",http://viaf.org/viaf/143145857076122922012,M,Chile,1861,1906
