NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Cvltura. Revista mensual,57,"López de Mesa, Luis",Director,NA,Colombia,El estricto necesario,5,JUNIO MCMXV,1915-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,4,355-358
Cvltura. Revista mensual,58,"Paláu, Alfonso",Editor,NA,Colombia,EL SISTEMA TRIBUTARIO NACIONAL,6,JULIO MCMXV,1915-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,08.6,359- 368
Cvltura. Revista mensual,59,"Caro, Miguel Antonio",Creador,"Caro, M.A",Colombia,LA ESPINA,6,JULIO MCMXV,1915-06-01,No,NA,Español,NA,Poesía,Poesía,"Villaveces, José María",NA,01.4,369-370
Cvltura. Revista mensual,60,"Nieto Caballero, Agustín",Editor,"Nieto Caballero, A.",Colombia,LA CARTUJA DE MIRAFLORES,6,JULIO MCMXV,1915-06-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,04.6,371-375
Cvltura. Revista mensual,61,"Jiménez López, Miguel",Creador,NA,Colombia,LO INCONSCIENTE EN LA EDUCACIÓN,6,JULIO MCMXV,1915-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,12,376-387
Cvltura. Revista mensual,62,"Rivas, Raimundo",Editor,NA,Colombia,AL MARGEN DE UNA BIOGRAFIA,6,JULIO MCMXV,1915-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,Don Mariano Ospina y su época de Estanislao Gómez Barrientos.,22.4,388-410
Cvltura. Revista mensual,63,"Escobar Larrazábal, Melitón",Editor,"Escobar Larrazábal, M.",Colombia,META DIPLOMATICA,6,JULIO MCMXV,1915-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,7,411-417
Cvltura. Revista mensual,64,"López de Mesa, Luis",Director,López de Mesa,Colombia,NUEVA TEORIA FILOSOFICA,6,JULIO MCMXV,1915-06-01,No,NA,Español,NA,Prosa No Ficción,Ensayo,NA,NA,14.4,418-432
Cvltura. Revista mensual,65,"López de Mesa, Luis",Director,NA,Colombia,El REINO DE LA UTOPIA,6,JULIO MCMXV,1915-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.6,433-434
Cvltura. Revista mensual,66,"López de Mesa, Luis",Creador,NA,Colombia,LO QUE DIGAN,6,JULIO MCMXV,1915-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2.4,434-436
Cvltura. Revista mensual,67,Anónimo,Director,NA,NA,Índice,6,JULIO MCMXV,1915-06-01,No,NA,Español,NA,Prosa No Ficción,Índice,NA,NA,2,NA
Cvltura. Revista mensual,68a,"Urrutia, Francisco José",Creador,NA,Colombia,UN LIBRO DE HISTORIA,7,"SEPTIEMBRE, MCMXV",1915-09-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,Relaciones Internacionales entre Colombia y Estados Unidos de Raimundo Rivas,15,1-15
Cvltura. Revista mensual,68b,"Gómez Restrepo, Antonio",Creador,NA,Colombia,UN LIBRO DE HISTORIA,7,"SEPTIEMBRE, MCMXV",1915-09-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,Relaciones Internacionales entre Colombia y Estados Unidos de Raimundo Rivas,15,1-15
Cvltura. Revista mensual,69,"Garcés, Enrique",Creador,NA,Ecuador,APUNTES SOBRE COLONIZACION AMAZONICA,7,"SEPTIEMBRE, MCMXV",1915-09-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,17,16-32
